[2023-05-30 16:00:02,767] INFO [Broker id=0] Leader __consumer_offsets-5 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 2 with partition epoch 0, high watermark 2, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,767] INFO [Broker id=0] Leader __consumer_offsets-20 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,771] INFO [Broker id=0] Leader kafka-json-topic-0 with topic id Some(oqlFBr9NRyaR3JUx0emDBw) starts at leader epoch 0 from offset 8 with partition epoch 0, high watermark 8, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,771] INFO [Broker id=0] Leader __consumer_offsets-27 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,775] INFO [Broker id=0] Leader __consumer_offsets-42 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,779] INFO [Broker id=0] Leader __consumer_offsets-12 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,782] INFO [Broker id=0] Leader __consumer_offsets-21 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,786] INFO [Broker id=0] Leader __consumer_offsets-36 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,790] INFO [Broker id=0] Leader __consumer_offsets-6 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,794] INFO [Broker id=0] Leader __consumer_offsets-43 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,798] INFO [Broker id=0] Leader __consumer_offsets-13 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,802] INFO [Broker id=0] Leader __consumer_offsets-28 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,815] INFO [Broker id=0] Finished LeaderAndIsr request in 181ms correlationId 1 from controller 0 for 55 partitions (state.change.logger)
[2023-05-30 16:00:02,820] INFO [Broker id=0] Add 55 partitions and deleted 0 partitions from metadata cache in response to UpdateMetadata request sent by controller 0 epoch 4 with correlation id 2 (state.change.logger)
